Author,Title,Poem,PoemAnalysis,PoemGoogleCounts
周邦彦,解语花·上元,"风销绛蜡，露浥红莲，花市光相射。
桂花流瓦。
纤云散，耿耿素娥欲下。
衣裳淡雅。
看楚女、纤腰一把。
箫鼓喧，人影参差，满路飘香麝。
因念都城放夜。
望千门如昼，嬉笑游冶。
钿车罗帐，相逢处，自有暗尘随马，年光是也，唯只见、旧情衰谢。
清漏移，飞盖归来，从舞休歌罢。","周邦彦词作鉴赏
此词以精粹的语言，巧妙的构思，不仅写出了地方上元宵佳节的情景，而且联想了京城上元节的盛况，同时抒发了仕途失意、远离京师、抑塞不舒之气。
正月十五，俗名灯节，为是开年的第一个月圆的良宵佳节，所以叫做元夕、元夜。这个元夜，普天之下，遍地之上，开满了人手制出的""花灯""；这些花把人间装点成为一个无可比拟的美妙神奇的境界。是为""花市光相射""。""相射""二字即言灯月交辉；又言亿万花灯，攒辉列彩，此映彼照，交互生光；更有那万人空巷、倾城出游、举国腾欢的看灯人。可以说，这句词是全篇的题眼，其余处处皆相和之。
上来八个字领起，""风销绛蜡，露浥红莲""一副佳联。绛蜡即朱烛，不烦多讲，红莲，批彩灯，宋时彩灯，以莲式最为时兴，诗词中又呼为""红莲""、""芙蓉""，皆指莲灯。此亦无待多说。""风销""、""露浥""四字，则将彻夜腾欢之意味烘染满纸了。当此之际，人面灯辉，交互映照，无限风光，尽包于""花市光相射""五个字。
""桂华流瓦""一句，正写初圆之月，下照人间楼屋。""流""字，从《汉书》""月穆穆以金波""与谢庄赋""素月流天""脱化而来。""桂华""二字用嫦娥之点引出天上仙娥居处，伏下人间倩女妆梳，总为今宵此境设色染。
""纤云散""谓夜空如洗，皓魄倍明。嫦娥碧海青天，终年孤寂，逢引良辰，也不免欲下寰，同分欢乐，""欲下""二字，写尽神情，真有""踽踽欲动""（东坡语）之态，呼之欲出之神。这不仅加倍烘染人间之美境，而且也巧妙引出人间无数游女。
""衣裳淡雅""一句，正写游女淡淡雅之致与上句""素""相呼应。""梦女""、""纤腰""前冠以""看""，是应元夕观灯之事。
以下用""萧鼓喧""三字略一宕开，而又紧跟""人影""四字。其中参差二字，实为妙绝。灯日辉映下，无数人影交互浮动，浓淡相融，令人眼花缭乱，此景融汇即为""参差""之致。
""满路飘香麝""一句，似疏而实密，是从味觉来写灯节与观灯之人遥遥与上文""桂华""呼应。其用笔钩互回连之妙，无以伦比。
下片以""因念""领起，由此二字，一笔挽还，使时光倒流，将读者又带回到当年东京汴梁城的灯宵盛境中去。想到当时，千门万户，尽情游乐，欢声鼎沸。""如昼""二字，极力渲染当年灯月之盛。""去年元夜时，花市灯如昼""，用的是同一拟喻。然汴州元夜，又有钿车宝马，杳巾罗帕。""暗尘随马去，明月逐人来""，用唐贤苏味道上元诗句，暗写少年情事，马逐香车，人拾罗帕，是当时男女略无结识机会下而表示倾慕之唯一方式、唯一时机。寥寥数笔，回忆京城全盛。至此方点题。""旧情""二字，是一篇主眼，而无限感慨，无限怀思，只以""因念""挽提，""唯只见""唱叹。""清漏""以下，道有余不尽之音，蕴怅惘低徊之致而已。""清漏移""三字，遥与""风销""、""露浥""相为呼应，首尾如一。驱车归来，旧情难觅，一任他人仍复歌舞狂欢。
这首词笔墨运用得当，感情真挚深婉，须用心体味，方能得其妙也。",7370
周邦彦,渔家傲,"灰暖香融销永昼。
蒲萄架上春藤秀。
由角栏干群雀半。
清明后。
风梳万缕亭前柳。
日照钗梁光欲溜。
循阶竹粉沾衣袖。
拂拂面红如著酒。
沉吟久。
昨宵正是来时候。","周邦彦词作鉴赏
此词以大开大阖的结构，明朗蕴藉的意境和精炼传神的语言。抒写闺中女子初恋时的春日情思。词之上片是现境，过片以下三句是实写追思，结二句又收回现境，同时又挽合着昨日相见的回忆。整首词之词境由室内而窗外，而院落，再推向春风杨柳的空间。
上片写的是现境。""灰暖香融销永昼，词境展开于室内，词中男主人公面对香炉，炉中，香料一点一点地销为暖灰。袅为香气，暖香盈室。漫长的白昼，一点一点的流逝着。他显然其味深长地体味着什么。""销永昼""三字，春日之深永，与情思之深永，交融而出。词境是安谧温馨溶溶泄泄的。后来李清照《醉花阴》词""薄雾浓云愁永昼，瑞脑销金兽""与此相似，但那是写愁闷，这是写欢愉，读下句便更其明显。""蒲萄架上春藤秀。""人物的视境转至窗外。下一""秀""字，窗前初生新叶的葡萄架上，顿时便春意盎然。这番明秀景致的观照，把欢愉的心情充分映衬出来。上句写春日之深永，此句写春色之明秀，皆是静景，下句则写动景，境展向院子里。""曲角栏干群雀斗""，下一""斗""字，写尽鸟雀之欢闹。即反映出其心情之欢愉，又反衬出所居之静谧，从而进一步暗示着那人此时情思之深永。下边两韵，将词境推向更加高远。""清明后，风梳万缕亭前柳。""清明后，点时令，时当三月中，同时也是记下一个难忘的时间。歇拍描绘春风骀荡，柳条万缕婆娑起舞于碧空之中。笔致极为明秀欢快。他究竟为何如此愉悦呢？揭示内蕴，是下片。
过片以下三句是追思实写，即不用忆、念一类领字，直接呈示回忆中情景。""日照钗梁欲溜。""一道明亮的阳光照耀这位女子的钗梁上，流转闪烁。这一特写是真实的，它逼真地反映了初次见面的深刻印象。但又是别出心裁的，它比描写美目转盼更富有暗示性象征性，它启示着女子的美丽和自己感受的强烈而不可磨灭。全篇有此一句，精神百倍。""循阶竹粉沾衣袖。""沿阶新竹横斜，当她迎面走来时，竟不觉让竹粉沾上了衣袖。这一描写，暗示出女主人公内心的激动。正是因为如此，她甚至于""拂拂面红如著酒""。其实，她是因初次相会的喜悦、幸福还有羞涩而陶醉了。那么，这次相会究竟是何时呢？""沉吟久。昨宵正是来时候。""原来，相见就昨日里。沉吟久，不仅将上边逼真如眼着的情景化为回忆，而且交代了上片永昼情思的全部内容。今日整整一天，他都沉浸欢乐的回忆中，足见他与女主人公一样因爱情而陶醉词情至此，已将双方的幸福之感写出，意境臻于圆融美满。
陈迁焯《白雨斋词话》言周词""视飞卿色泽较淡，意态却浓，温韦之外别有独至处。""他又认为：美成词妙处，""亦不外沉郁顿挫。顿挫故有姿态，沉郁则极深厚。即有姿态，又极深厚，词中三味亦尽于此矣。""这些评论，对于赏析此词是有启发的。",434000
周邦彦,浣溪沙,"楼上睛天碧四垂，楼前芳草接天涯。
劝君莫上最高梯。
新笋已成堂下竹，落花都上燕巢泥。
忍听林表杜鹃啼。","周邦彦词作鉴赏
这是一首风致深婉的怀乡词。上片写空间之广大，以表现乡愁之深广，下片以眼前物色的变化来表现词人的迟暮和滞留之感。全词由天而地，由远而近，缘景入情，把游子的情怀表现得深婉动人，缠绵悱恻，情真意切。
开篇""楼上""句，言晴空寥廓，四面下垂，是对环境、气氛的渲染。一个""垂""字能人们心头唤起一种自高而下的辐射状的空间之感来。""楼前""句以接天的芳草借指通向故乡的道路，富于形象美，含蓄蕴藉地表达出黯然别恨和悠悠乡思。""劝君""句是自言自语的独白。此句一反""远望可以当归""之意。言作者正是由于怕触动这无法排遣的乡心，才不敢凭高眺远。这是翻进一层的手法，却吞去后半不予点破，可谓深沉委婉。
下片三句写阑珊春事引起的乡思。一、二句对起，写新笋已长成绿竹，春花却落为燕泥。此二句以花木消长，时序推移，这对比鲜明的景物触发词人的羁怀旅思、暮感悲心。""忍听""句语出李中""忍听黄昏杜宇啼（《钟陵禁烟寄从弟》），而运典自然，一如己出。""林表""，即林梢。杜鹃啼声哀苦，如唤""不如归去""，故亦称催归鸟。词人的一片归心，于结句点出，然亦点到即止，不作过分渲染，而寄兴深微，自成妙诣。
此词的结构颇具匠心：上下片均为前两句写景，后一句缘景入情；上片写远景，极尽空间寥廓之感，下片写近景，发抒时光流逝之慨。这样的布局谋篇，把作者的乡愁表现得荡气回肠，淋漓尽致。",226000
周邦彦,一落索,"眉共春山争秀，可怜长皱。
莫将清泪滴花枝，恐花也、如人瘦。
清润玉箫闲久，知音稀有，欲知日日倚栏愁，但问取、亭前柳。","周邦彦词作鉴赏
此为写离愁之闺情词。词的上片由思妇外貌之美到其内心之愁，下片着意表现其内心和愁情。全词结情于景，层层深入，情致委婉。
用春山比喻女子的眉毛，用花朵比喻女子的面容，这两个陈旧比喻经作者妙笔点化又呈现出新，""眉共春山争秀""，意思是说，这位闺中思妇的眉毛比春天的青山还要秀丽，有了""争秀""二字，比起""淡淡春山""、""眉如春山""、""眉蹙春山""之类的常用词语来，已经增添了新意，下句紧接""可怜长皱""，又翻出了另一层新意，由人物外貌的美说到了内心的愁。这样一来，旧语翻出新意。下文以花喻面，作者说""莫将清泪滴花枝，恐花也、如人瘦""，使它的含义变得丰富多了，曲折多了，也新鲜多了，可以说它与李清照的名句""人比黄花瘦""有异曲同工之妙。上片着重写思妇的外貌，但已涉及内心，有层次、有深度，笔致委婉多姿。
下片着重写思妇的内心。先写""玉箫""，既用作陪衬，也用作象征，人物的闲雅风姿与孤寂心情由此得以想见。下文点明""愁""字，而用""欲知""，""但问""连属成句，正是与上片的""可怜""、""莫将""相互照应，既象是思妇内心的自问自答，又象是对第三者的关切所作的回复，而这样前后照应的结果，顿使全篇和谐而匀称。结尾处，写""日日倚栏""远望，不见夫婿归来，所见者，唯有长亭前边的杨柳，于是，日积月累的离愁就都堆垛了杨柳上面，这里，杨柳是愁绪的见证。
闺情这个题目，宋词里最为常见。要想使这类作品占得一席地位，就必须写得新颖别致，必须有一定的独创性。这首小词，和周邦彦的其他作品不大一样，是以清淡自然取胜的，没有刻意的雕饰与秾艳的辞藻，写来好象也很轻松，只是把习见的题材信手拈来，一挥而就，但也并非率意之作，还是有它的特点的。闺情词总要以描写闺中妇女为核心，本篇亦不例外。它刻画了思妇的外貌、内心，传达了人物的神意态，篇幅虽然短小，内容却不单调，笔致委婉含蓄，语言却清新流畅，读起来还是很有韵味的。",70800
周邦彦,浣溪沙,"雨过残红湿未飞，疏篱一带透斜晖。
游蜂酿蜜窃香归。
金屋无人风竹乱，衣篝尽日水沉微。
一春须有忆人时。","周邦彦词作鉴赏
此词上片写景，下片由景生情，抒写闺中女子暮春怀人的情思，最后以情语作结。全词前五句，句句景语，致语，成独立画面，又句句含情，蕴藉，彼此有机关联。这有机相联的美丽画面中，女主人公的心理活动活灵活现地表现出来。
上片写暮春时节一个雨后黄昏的景色。首句写春雨刚过，落红满地，沾地不起。次句写一带疏篱，透过了星星点点的斜晖。""残红""点明春暮，""斜晖""点明日暮。春残、日暮，再加上暂留枝头的残红、转瞬即逝的斜晖，这一切物象，暗示出闺中伤春怀人女子之凄婉、寂寞。
第三句写蜜蜂采花归来。游蜂采花酿蜜，本身就标志着春天的活泼生机和散发着欢乐的青春气息；它傍晚时分窃香满载而归，更标志着春天的收获和美好的归宿。这对于向往着青春欢乐的女主人公来说，又是一种撩拨和刺激。""窃香""二字，还包蕴着某种爱情上的暗示。如果说，前两句是用春残日暮的景象正面烘托，那么这一句便是用富于活力的物象反面补托。手法不同，目的却是一致的。
下阕由景及情，即景生情。过片上句写室外风竹成韵，但所待之人未归，徒增思念者的寂寞无聊；下句写室内的沉香经过一天的燃点，已经变得微弱了，女主人公却无兴致再添香。这些细节描写，烘托了闺中人意的落寞无聊、涩滞不宁。末句""一春须有忆人时""""以情语作结，意谓整个春天只好怀人的苦闷相思中度过。这一结尾，包含无限深意，给人以言尽而意未尽之感。
这首词通过层层铺叙渲染，创造出一个充满寂寞无聊、空虚惆怅气氛的环境，有力地烘托出金屋女主人公的伤春怀人意绪。末句以作者的口吻侧面虚点，与""良辰美景奈天，赏心乐事谁家院""的慨叹有异曲同工之妙。",15900
周邦彦,满庭芳·夏日溧水无想山作,"风老莺雏，雨肥梅子，午阴嘉树清圆。
地卑山近，衣润费炉烟。
人静乌鸢自乐，小桥外、新绿溅溅。
凭栏久，黄芦苦竹，疑泛九江船。
年年，如社燕，飘流瀚海，来寄修椽。
且莫思身外，长近尊前。
憔悴江南倦客，不堪听急管繁弦。
歌筵畔，先安簟枕，容我醉时眠。","周邦彦词作鉴赏
此词作于宋哲宗元祐八年（1093）作者任溧水县县令时，词中真实地反映了作者的宦情羁思和身世之感。词中多处化用前人诗句，旧曲翻新，精心熔铸，浑化无迹。
一开头写春光已去，雏莺风中长成了，梅子雨中肥大了。这里化用杜牧""风蒲燕雏老（《赴京初入汴口》）及杜甫""红绽雨肥梅（《陪郑广文游何将军山林》）诗意。""午阴嘉树清圆""，则是用刘禹锡《昼居池上亭独吟》""日午树阴正""句意，""清圆""二字绘出绿树亭亭如盖的景象。以上三句写初夏景物，体物极为细微，并反映出作者随遇而安的心情，极力写景物的美好，无伤春之愁，有赏夏之喜。但接着就来一个转折：""地卑山近，衣润费炉烟。""'正象白居易贬官江州，《琵琶行》里说的""住近湓江地低湿""，溧水也是地低湿，衣服潮润，炉香熏衣，需时良多，""费""字道出衣服之潮，则地卑久雨的景象不言自明。那末这里还是感到不很自吧。接下去又转写：此地比较安静，没有嘈杂的市声，连乌鸢也自得其乐。小桥外，溪不清澄，发出溅溅水声。似乎是一种悠然自得之感。但紧接着又是一转：""凭栏久，黄芦苦竹，疑泛九江船。""白居易既叹""住近湓江地低湿，黄芦苦竹绕宅生""，词人久久凭栏眺望之余，也感到自己处这""地卑山近""的溧水，与当年白居易被贬江州时环境相似，油然生出沦落天涯的感慨。
由""凭栏久""一句，知道从开篇起所写景物都是词人登楼眺望所见。
下片开头，以社燕自比。社燕春社时飞来，到秋社时飞去，从海上飘流至此，人家长椽上作巢寄身。瀚海，大海。词人借海燕自喻，频年飘流宦海，暂此溧水寄身。既然如此，""且莫思身外，长近尊前""，姑且不去考虑身外的事，包括个人的荣辱得失，还是长期亲近酒樽，借酒来浇愁吧。词人似乎要从苦闷中挣脱出去。这里，点化了杜甫""莫思身外无穷事，且尽生前有限杯""（《绝句漫兴》）和杜牧的身外任尘土，尊前极欢娱（《张好好诗》）。""憔悴江南倦客，不堪听急管繁弦""，又作一转。宦海中飘流已感疲倦而至憔悴的江南客，虽想撇开身外种种烦恼事，向酒宴中暂寻欢乐，如谢安所谓中年伤于哀东，正赖丝竹陶写，但宴席上的""急管繁弦""，怕更会引起感伤。杜甫《陪王使君》有""不须吹急管，衰老易悲伤""诗句，这里""不堪听""含有""易悲伤""的含意。结处""歌筵畔，承上""急管繁弦""。""先安簟枕，容我醉时眠，则未听丝竹，先拟醉眠。他的醉，不是欢醉而有愁醉。丝竹不入愁之耳，唯酒可以忘忧。箫统《陶渊明传》：""渊明若先醉，便语客：""我醉欲眠，卿可去。'""词语用此而情味自是不同。""容我""二字，措辞宛转，心事悲凉。结语写出了无可奈何、以醉遣愁的苦闷。
王国维推尊邦彦为词中老杜，确非溢美之词。此词即突出地体现了清真词章法变化多端。疏密相间，笔力奇横，写景抒情刻画入微，形容尽致的特点。词中""多用唐人诗语，隐括入律，浑然天成，""""尤善铺叙，富艳精工""（陈振孙《直斋书录解题》）堪称匠心独运的成功之作。",14500
周邦彦,过秦楼,"水浴清蟾，叶喧凉吹，巷陌马声初断。
闲依露井，笑扑流萤，惹破画罗轻扇。
人静夜久凭阑，愁不归眠，立残更箭，叹年华一瞬，人今千里，梦沉书远。
空见说、鬓怯琼梳，容销金镜，渐懒趁时匀染。
梅风地溽，虹雨苔滋，一架舞红都变。
谁信无聊为伊，才减江淹，情伤荀倩。
但明河影下，还看稀星数点。","周邦彦词作鉴赏
此词通过现实、回忆、推测和憧憬等各种意意象的组合，抚今追昔，瞻念未来，浮想连翩，伤离痛别，极其感慨。词中忽景忽情，忽今忽昔，景未隐而情已生，情未逝而景又迁，最后情推出而景深入，给读者以无尽的审美愉悦。
上片""人静夜久凭栏，愁不归眠，立残更箭""是全词的关键。这三句勾勒极妙，其上写现的句词，经此勾勒，变成了忆旧。一个夏天的晚上，词人独倚阑干，凭高念远，离绪万端，难以归睡。由黄昏而至深夜，由深夜而至天将晓，耳听更鼓将歇，但他依旧倚栏望着，想着离别已久的情人。他慨叹着韶华易逝，人各一天，不要说音信稀少，就是梦也难做啊！
他眼前浮现出去年夏天屋前场地上""轻罗小扇扑流萤""的情景。黄昏之中，墙外的车马来往喧闹之声开始平息下来。天上的月儿投入墙内小溪中，仿佛水底沐浴荡漾。而树叶被风吹动，发出了带着凉意的声响。这是一个多么美丽、幽静而富有诗情的夜晚。她井栏边，""笑扑流萤""，把手中的""画罗轻扇""都触破了。这个充满生活情趣的细节写活了当日的欢爱生活。
下片写两地相思。""空见说、鬓怯琼梳，容销金镜，渐懒趁时匀染。""是词人所闻有关她对自己的思念之情。由于苦思苦念的折磨，鬓发渐少，容颜消瘦，持玉梳而怯发稀，对菱花而伤憔翠，""欲妆临镜慵""，活画出她别后生理上、心理上的变化。""渐""字、""趁时""二字写出了时间推移的过程。接着""梅风地溽，虹雨苔滋，一架舞红都变""三句则由人事转向景物，叙眼前所见。梅雨季节，阴多晴少，地上潮湿，庭院中青苔滋生，这不仅由于风风雨雨，也由于人迹罕至。一架蔷薇，已由盛开时的鲜红夺目变得飘零憔悴了。这样，既写了季节的变迁，也兼写了他心理的消黯，景中寓情，刻画至深。""谁信无聊为伊，才减江淹，情伤荀倩。""这是词人对伊人的思念。先用""无聊""二字概括，而着重处尤""为伊""二字，因相思的痛苦，自己象江淹那样才华减退，因相思的折磨，自己象荀粲那样不言神伤。双方的相思，如此深挚，以至于他恨不能身生双翅，飞到她身旁，去安慰她，怜惜她。可是不能，所以说""空见说""。""谁信""二字则反映词人灵魂深处曲折细微的地方，把两人相思之苦进一步深化了。这些地方表现了周词的沉郁顿挫，笔力劲健。歇拍""但明河影下，还看稀星数点""，以见明河侵晓星稀，表出词人凭栏至晓，通宵未睡作结。通观全篇，是写词人""夜久凭栏""的思想感情的活动过程。前片""人静""三句，至此再得到照应。银河星点，加强了念旧伤今的感情色彩；如此以来，上下片所有情事尽纳其中。
这首词，上片由秋夜景物，人的外部行为而及内感情郁结，点出""年华一瞬，人今千里""的深沉意绪，下片承此意绪加以铺陈。全词虚实相生，今昔相迭，时空、意象的交错组接跌宕多姿，空灵飞动，愈勾勒愈浑厚，具有极强的艺术震撼力。",9360
周邦彦,苏幕遮,"燎沈香，消溽暑。
鸟雀呼晴，侵晓窥檐语。
《上初阳乾宿雨，水面清圆，一一风荷举。
故乡遥，何日去？
家住吴门，久作长安旅。
五月渔郎相忆否？
小辑轻舟，梦入芙蓉浦。","周邦彦词作鉴赏
此词以咏雨后荷花为中心，表现思念故乡的情怀。
词之上片描写盛夏晨景，下片抒思乡之情。全词天然真美，不事雕饰，别具风韵。陈延焯《云韶集》称此词""风致绝佳，亦见先生胸襟恬淡。""王国维《人间词话》赞其中景语""真能得荷花之神理者。""这词以写雨后风荷为中心，由此而引入故乡归梦。
作者面对着象征江南陂塘风色的荷花，很自然地会钩起乡心，词的结尾用""小辑轻舟，梦入芙蓉浦""（古人也称荷花为芙蓉）绾合，上下片联成一气，融景入情，不着痕迹。这首词的极妙之处当""叶上初阳乾宿雨，水面清圆，一一风荷举""三句所写荷花的神态。写当宿雨初收，晓风吹过水面，红艳的初日照耀下，圆润的荷叶，绿净如拭，亭亭玉立的荷花，随风一一颤动起来。这样作者用十分生动的素描一个活泼清远的词境，再现于读者面前。作者只用寥寥几笔，就达到了这种境地，只一个""举""字，便刻画出荷花的动态。王国维《人间词话》赞扬它为""真能得荷之神理者""，实乃一语中的。
此词通过回忆、想象、联想，以荷花贯穿，既细致传神地写景状物，又颇有诗意地表现思乡之情。全词语言自然明丽，淡雅素洁，别具一格，词境清新而爽朗。",30500
周邦彦,诉衷情,"出林杏子落金盘。
齿软怕尝酸。
可惜半残青紫，犹印小唇丹。
南陌上，落花闲。
雨斑斑。
不言不语，一段伤春，都眉间。","周邦彦词作鉴赏
此词以空灵的笔触，传神地描绘了少女伤春的情事。词中将少女尝鲜得酸的偶然情事，与其怀春藏酸的本质内容相勾连，以前者触发后者，写来活泼可爱，清丽可喜。尝杏怕酸的细节，暗示着少女心中萌发着的爱情追求，即如吃杏子一样，想要尝试，又怕齿酸。作者将少女情春时的微妙心理表现得真切动人。
上片用工致之笔，刻画一个具体情节。""出林杏子""一句，先就暗示了这是杏子刚刚成熟的时节，即暮春时候。金盘里的杏子是摘来的，词人却写做""落金盘""，不但新颖，而且妥贴（""落""则熟也）。不过第一批出林的杏子，乃属尝鲜之列，并未熟透甜透。
这从它""青紫""相间的颜色可知，所以少女刚品尝一口，便""齿软怕酸""了。所谓""齿软""，是一种形象化的说法，俗语称之""倒牙""。这样便留下半枚残杏，""可惜半残青紫，犹印小唇丹。""一个青紫相间的残杏上，留下小小口红痕印，从这个呼之欲出的细节动作中似乎可见那咬杏的人儿，酸口中，蹙到眉尖的情景。
下片则用较空灵的笔触，烘出少女伤春情事。""南陌上，落花闲。雨斑斑""三句用速写简妙笔墨，勾勒出一个背景。""斑斑""二字本形容落花狼藉情态，此承""雨""字作形容，又兼有""桃花乱落如红雨""（李贺）的意趣，不独见春雨之骤急。最后三句则着力写人物的表情及心理，上片写少女尝杏，酸到眉尖，这里一著暮春之景，则那眉间的酸意，又不全是为了青杏""不言不语，一段伤春，都眉间。""",445000
周邦彦,风流子,"枫林凋晚叶，关河迥，楚客惨将归。
望一川暝霭，雁声哀怨；半规凉月，人影参差。
酒醒后，泪花销凤蜡，风幕卷金泥。
砧杵韵高，唤回残梦；绮罗香减，牵起馀悲。
亭皋分襟地，难拚处，偏是掩面牵衣。
何况怨怀长结，重见无期。
想寄恨书中，银钩空满；断肠声里，玉筯还垂。
多少暗愁密意，唯有天知。","周邦彦词作鉴赏
此词写作者离开客居五年的荆州时同当地一位相好的女子分别时的情景，离愁别绪婉然眼前。
开篇即从首途前夕饯宴之后写起。词中虽未明写""都门帐饮""之事，但从下文""酒醒""字见出。一个枫叶飘零的秋晚，抒情主人公就要离开这客居之地而归去，面对山川迢遥，不免情怀凄然。前三句的情景、意念及""楚客""、""将归""等字面，都有意无意从楚辞《九辩》""悲哉秋之为气也！萧瑟兮草木摇落而变衰；憭慄兮若远行，登山临水兮送将归。""这段虚拟送别的文字能增强联想，烘托气氛。紧接着就写其苍茫暮色中之闻见：""望一川暝霭，雁声哀怨；半规凉月，人影参差。""这里，依稀可辨的一行人影，是尚未远去的前来送别的人们，可知其中有一个""她""，于是""人影参差""四字写景中就寓有无限依依不舍之情。这哀怨的、未安栖或失群的雁的鸣声，与残缺成半的凉月，又成为羁情和离思的象征。
""酒醒后""到上片煞拍，与前数句时间上有一个跳跃而情景暗换，写独处一室清夜梦回所闻见，大致相当于柳词""今宵酒醒何处""一节内容。词主人公醒来，眼前残烛曳，帘幕随见舒卷；清晰的捣衣声驱散残梦，梦想中的""她。忽从""我""身边消逝，不禁悲从中来，不可断绝。""凤蜡""字面出于《南史》，史载王僧绰少时与兄弟聚会，采蜡烛泪为凤凰：""泪花""指蜡泪，诗词多以象征离愁《（杜牧》赠别《：""蜡烛有心还惜别，替人垂泪到天明""）：""金泥""指帘幕上的烫金：""绮罗香""指女子衣裙上的香气。这几句典辞华美，通过环境的富艳反衬人物心境，形出更强烈的孤寂感。""酒醒后""三句先写出刚醒来一刹那的怔忡神态，""砧杵韵高""四句继写清醒后的感觉与心情，用笔细微入妙。""绮罗香减""继""残梦""二字吐出，便不只实写与女方的诀别，而兼暗示中宵梦想，笔致空灵。""牵起馀悲""四字回应篇首""惨将归""，又唤起下片追忆，贯彻篇终，有千钧之力。
过片叙昨晚饯别分襟时彼此种种不堪，属用倒叙手法写追忆之情事。""亭皋（水边平地）分襟地，难拚处""为一层，言临别已觉难以割舍：""偏是掩面牵衣""进一层，写对方呜咽掩泣更使人难堪：""何况怨怀长结，重见无期""，再进一层，说明这是诀别，后会难期：""想寄恨书中""四句，以一""想""字领起，写别后相思愁恨之深，分从双方著笔。""寄恨书中，银钩空满""，说自己纵然是""恨墨""写至""盈笺""，也写之不尽。""断肠声里，玉筯还垂""，说别时她为我""断肠声里唱《阳关》""，流泪想念？至今未止。而想象对方情状，更是反映自己对彼相思之深。""空""、""还""二字勾勒着意。这种暗密的相思之情，""多少暗愁密意，唯有天知""，一发痴迷沉痛之感慨。
这首词化实为虚，将离情别苦写得回味无穷。用笔密致，典朴，拙丽，相得益彰。",75000
周邦彦,隔浦莲近拍·中山县圃姑射亭避暑作,"新篁摇动翠葆，曲径通深窈。
夏果收新脆，金丸落，惊飞鸟。
浓翠迷岸草。
蛙声闹，骤雨鸣池沼。
水亭小。
浮萍破处，帘花檐影颠倒。
纶巾羽扇，困卧北窗清晓。
屏里吴山梦自到。
惊觉，依然身江表。","周邦彦词作鉴赏
此词作于词人任溧水县县令期间。词中写初夏的一个清晨词人信步庭园所见景色。全词用笔纵横交错，富于变化，富于空间感。《片玉集》强焕序云：周词""模写物态，曲尽其妙。""王国维《清真先生遗事》谓此""为知言。""词的上阕写盛夏的景色，作者勾勒出中山县圃姑射亭的轮廓以及周围的环境。这是一个令人留连忘返的避暑胜地：碧色的翠竹和幽静蜿蜒的小径，给人清凉舒适的感觉；成熟的水里，郁郁葱葱的岸草，喧闹的蛙声，这些夏日里才有的典型事物被集中一起来表现田园生活，别有一番情趣。""池蛙""，仿佛令人闻到了骤雨前那种湿润的、带着泥土芳香的气味。作者下笔十分巧妙，他用""新篁""、""翠葆""这类精美的词藻替代了普通的字眼，给人留下了新奇的印象。
其写景的方法充分施展了他对色调运用的才华。作者采用绿色作为主要的基调，然后再用暖色加以点缀，又让读者交错地使用视觉和听觉，大大增强了对景色的主体感受。词一开头，一片翠绿映入读者的眼帘，接着，又交替出现了""金丸""、""浓翠""等色彩斑斓的词，令人目不暇接。""夏果收新脆""中一个""脆""字，概括了对丰硕果实的赞叹，""金丸落，惊飞鸟""则套用了李白《少年子》中的诗句""金丸落飞鸟""。随后，又描摹了池蛙的喧闹声，用字选词，锤炼精工。
下阕的前三句写词人居住的临水小院。作者用""浮萍破处，帘花檐影颠倒""来点出小亭的所，既写了水，又写了亭，水、亭相映，美不胜收。""帘花檐影""，有的本子作""檐花帘影""。此处并非实指，""帘花檐影""只不过用来代指他居住的小屋，作者将""浮萍""、""帘花""、""檐影""搅混一起，就是要用它们构成一幅具有朦胧美的水中图画。
""纶巾羽扇，""困卧北窗清晓""，是词人当时生活的写实。从写景到写人，笔锋转得十分自然，""困卧""二字正与""水亭小""相呼应，字面上似乎是从客观环境着眼，然而从全词看，此处恰好是作者情绪的转折点。下三句，则着重刻画了词人的思乡之情。周邦彦是钱塘人，此处的吴山当借指他的家乡。作者从""卧""字起笔，因屏风上的画图而梦游故乡，一直写到梦醒后的惆怅，一气呵成，有起有落，曲折宛转。
此词最为显著的艺术特色是写景精工，模写物态清新自然。词中所写""新篁""、""曲径""、""夏果""、""飞鸟""、""岸草""、""蛙声""、""池沼""、""水亭""、""浮萍""等物象，有静有动，有声有色，形态鲜明，声色俱佳，是一幅生机盎然，清晰优美的初夏风景图。词之上片移步换景，富于变化，画面设计精巧，自然完美；下片气势顿起，活画出人物的活动与心境，抒发了词人的乡思之情和身世之慨；整首词先抑后扬，耐人寻味。",26300
