Title,Author,Poem,PoemAnalysis,PoemGoogleCounts
白雪歌送武判官归京,岑参,"北风卷地白草折，胡天八月即飞雪。
忽如一夜春风来，千树万树梨花开。
散入珠帘湿罗幕，狐裘不暖锦衾薄。
将军角弓不得控，都护铁衣冷难着。
瀚海阑干百丈冰，愁云惨淡万里凝。
中军置酒饮归客，胡琴琵琶与羌笛。
纷纷暮雪下辕门，风掣红旗冻不翻。
轮台东门送君去，去时雪满天山路。
山回路转不见君，雪上空留马行处。","此诗是一首咏雪送人之作。天宝十三年（754）岑参再度出塞，充任安西北庭节度使封常清的判官。武某或即其前任，为送他归京，写下此诗。“岑参兄弟皆好奇”（杜甫《渼陂行》），读此诗处处不要忽略一个“奇”字。
此诗开篇就奇突，未及白雪而先传风声，所谓“笔所未到气已吞”（苏轼《王维吴道子画》）——全是飞雪之精神。大雪必随刮风而来，“北风卷地”四字，妙在由风而见雪。“白草”，据《汉书•西域传》颜师古注，乃西北一种草名，王先谦补注谓其性至坚韧。然经霜草脆，故能断折（如为春草则随风俯仰不可“折”）。“白草折”又显出风来势猛。八月秋高，而北地已满天飞雪。“胡天八月即飞雪”，一个“即”字，惟妙惟肖地写出由南方来的人少见多怪的惊奇口吻。
塞外苦寒，北风一吹，大雪纷飞，诗人以“春风”使梨花盛开，比拟“北风”使雪花飞舞，极为新颖贴切。“忽如”二字下得甚妙，不仅写出了“胡天”变幻无常、大雪来得急骤，而且再次传出了诗人惊喜好奇的神情。“千树万树梨花开”的壮美意境，颇富有浪漫色彩。南方人见过",9740000
魏城逢故人,罗隐,"一年两度锦江游，前值东风后值秋。
芳草有情皆碍马，好云无处不遮楼。
山将别恨和心断，水带离声入梦流。
今日因君试回首，澹烟乔木隔绵州。","唐人笔下的成都，总是安乐富足、旖旎风流的，令人沉浸其中，流连忘返。诗人罗隐离开成都，分外眷恋，缓缓行来，不断回首。行至“魏城”（今四川绵阳魏城镇），遇见成都的老朋友，再也抑制不住内心感慨，写下这首诗来。
本诗通俗明白，尤为值得注意的是中间两联。“芳草有情皆碍马，好云无处不遮楼”，脚下皆是嫩绿青草，头顶尽是蓝天白云。成都风景之美，这二句描摹极为动人。“山将别恨和心断，水带离声入梦流”，古人和山水打成一片，青山、绿水，仿佛",9710000
登陇,高适,"陇头远行客，陇上分流水。流水无尽期，行人未云已。
浅才通一命，孤剑适千里。岂不思故乡？从来感知己。","据《旧唐书•高适传》载，“（高适）客游河右，河西节度使哥舒翰见而异之，表为左饶卫兵曹，充翰府掌书记”。此诗当为天宝十二年（753），高适离长安前去河西节度使治所凉州（今甘肃武威）上任途中，登陇山有感而作。时高适已四十九岁。陇山在今陕西省陇县西北，当时为去西北的必经之地。据南朝宋郭仲产《秦州记》载：“陇山东西百八十里，登山岭东望，秦川四五百里，极目泯然，山东之人行役升此而顾瞻者，莫不悲思。”
诗的头四句是以陇上流水来比衬作者的独身远行。“远行客”是作者自称。当作者登上陇山之巅，会想起乐府民歌《陇头歌辞》：“陇头流水，流离山下。念",9240000
姚秀才爱余小剑因赠,刘叉,一条古时水，向我手心流。临行解赠君，勿报细碎仇。,诗人对小剑的形容很别致：“一条古时水，向我手心流。”流水的联想，来自剑锋的明亮闪烁。李贺《春坊正字剑子歌》开头就说：“先辈匣中三尺水，曾入吴潭斩龙子。”这首小诗同样运用借代手法，称剑为“水”，意在形容其锋快无比。但诗人不一般地说水，而新鲜地呼之,8860000
插田歌,刘禹锡,"冈头花草齐，燕子东西飞。田塍望如线，白水光参差。
农妇白纻裙，农父绿蓑衣。齐唱郢中歌，嘤佇如竹枝。
但闻怨响音，不辨俚语词。时时一大笑，此必相嘲嗤。
水平苗漠漠，烟火生墟落。黄犬往复还，赤鸡鸣且啄。
路旁谁家郎，乌帽衫袖长。自言上计吏，年初离帝乡。
田夫语计吏：“君家侬定谙。一来长安道，眼大不相参。”
计吏笑致辞：“长安真大处。省门高轲峨，侬入无度数。
昨来补卫士，唯用筒竹布。君看二三年，我作官人去。”","世界有三大文明，农耕文明、游牧文明、商业文明，中国无疑是农耕文明的典型，诗歌的山水田园之作，就是最精粹的体现。
这曲《插田歌》，是优美而有意味的一首田园诗。
开头十六句，展开的简直就是一幅水墨画。正当四月，农村插秧，田边花草繁茂，田头燕子翩飞，田埂一望如线，田里水光闪耀。农妇穿着白麻裙，农夫披着绿蓑衣，一边干活，一边唱着歌曲。只听得曲子轻怨，却不明白具体歌词，歌唱当中，农民们时不时开怀大笑，看那样子，准是他们在讲着笑话相互逗乐。傍晚来到，水田已经满满",8370000
新丰折臂翁,白居易,"戒边功也。
新丰老翁八十八，头鬓眉须皆似雪；
玄孙扶向店前行，左臂凭肩右臂折。
问翁：“臂折来几年？”兼问：“致折何因缘？”
翁云：“贯属新丰县，生逢圣代无征战；
惯听梨园歌管声，不识旗枪与弓箭。
无何天宝大征兵，户有三丁点一丁。
点得驱将何处去？五月万里云南行。
闻道云南有泸水，椒花落时瘴烟起；
大军徒涉水如汤，未过十人二三死。
村南村北哭声哀，儿别爷娘夫别妻；
皆云前后征蛮者，千万人行无一回。
是时翁年二十四，兵部牒中有名字。
夜深不敢使人知，偷将大石锤折臂。
张弓簸旗俱不堪，从兹始免征云南。
骨碎筋伤非不苦，且图拣退归乡土。
此臂折来六十年，一肢虽废一身全。
至今风雨阴寒夜，直到天明痛不眠。
痛不眠，终不悔，且喜老身今独在。
不然当时泸水头，身死魂孤骨不收；
应作云南望乡鬼，万人冢上哭呦呦。”
老人言，君听取：君不闻开元宰相宋开府，
不赏边功防黩武！
又不闻天宝宰相杨国忠，欲求恩幸立边功；
边功未立生人怨，请问新丰折臂翁！","白居易于元和四年（809）所作的《新乐府》五十篇，明确说明乃是“为君、为臣、为民、为物、为事而作，不为文而作也”（《新乐府序》）。
公开声明此诗旨在谴责天宝年间之穷兵黩武。天宝年间白族领袖阁罗凤在云南建立南诏国，与唐朝是封建藩属关系，起到为唐朝牵制吐蕃后方的作用。但云南太守张虔陀因为对阁罗凤进行侮辱和挑拨，遭到阁罗凤的反抗而被杀死。天宝十年（751）四月，剑南节度使鲜于仲通率兵八万去攻打南诏国，阁罗凤曾派人讲和，鲜于仲通不听，结果在西洱河打了败仗。天宝十三载（754）六月，以宰相名义兼领剑南节度使的杨国忠，派剑南节度留后李宓率兵七万再次攻打南诏国，结果李宓被擒，全军覆没。但杨国忠却隐瞒军事失利，而且向唐玄宗报捷邀功；同时又派御史捕捉壮丁，强迫押送入伍，结果屡战屡败，死亡达二十余万人。这首诗即是以天宝十三年（754）之战为背景，通过新丰（在今陕西临潼县境）折臂翁独特的经历，以个别反映一般，揭露了唐王朝统治集团对南诏国发动不义战争给人民带来的灾难与痛苦，表现了百姓要求民族之间团结友好，反对穷兵黩武的愿望。此诗“长于讽谕，颇得风人之旨”（清施补华《岘佣说诗》），又具有咏史的性质。
全诗可分为三段。第一段自首句“新丰老翁八十八”至“兼问：‘致折何因缘？’”。主要是描绘折臂翁的外观形象，并向第二段过渡。“新丰老翁八十八",8080000
咏鹅,骆宾王,鹅鹅鹅，曲项向天歌。白毛浮绿水，红掌拨清波。,"这是作者七岁所作，至今广为传诵。这首儿童诗好处何在？它何以能够在唐诗中占有一席地位，又流传至今呢？一般人往往会拈出后两句，认为它对仗得好，色彩字用得好。
其实，后两句的好，只是初级水平的好。因为它更多的是运用技巧的结果。对仗的基本技巧是什么呢？是增字法―先写“白毛”，对上“红掌”；再加“绿水”，对上“清波”；上句添动词“浮",8000000
长安遇冯著,韦应物,"客从东方来，衣上灞陵雨。问客何为来？采山因买斧。
冥冥花正开，飏飏燕新乳。昨别今已春，鬓丝生几缕？","冯著，河间（今河北省河间市）人，才俊之士，曾长期漂泊不定，与韦应物早在永泰（765—766）前即为好友。大历十年（775）春，韦应物于长安作《寄冯著》诗，表达了对冯著的思念，其时冯著在家乡蛰居“伏里闾”。同年冬，冯著自关东来长安求仕，韦应物作《赠冯著》，叙离别之意，念其奔走栖遑之苦，感其“零落岁华空”，对其怀才未遇表示了深切同情。冯著困踬长安，翌年春，二人不期而遇，韦应物作了此诗。
前四句，回顾冯著之所来，用笔沉婉。“客从东方来，衣上灞陵雨”，叙述上年冯著到达长安时，衣上犹带着途径灞陵所浇淋的雨水。灞陵，在长安东南，冯入长安所经之地。二句当与《赠冯著》中之“惨凄游子情，风雪自关东”对读，尤见情景之真切、",7860000
凉州词,王之涣,"黄河远上白云间，一片孤城万仞山。
羌笛何须怨杨柳，春风不度玉门关。","据唐人薛用弱《集异记》记载：开元间，王之涣与高适、王昌龄到酒店饮酒，遇梨园伶人唱曲宴乐，三人便私下约定以伶人演唱各人所作诗篇的情形定诗名高下。结果三人的诗都被唱到了，而诸伶中最美的一位女子所唱则为“黄河远上白云间”。王之涣甚为得意，这就是著名的“旗亭画壁”故事。此事未必实有，但表明王之涣这首《凉州词》在当时已是脍炙人口的名篇。
诗的首句抓住自下（游）向上（游）、由近及远眺望黄河的特殊感受，描绘出“黄河远上白云间”的动人画面：汹涌澎湃、波浪滔滔的黄河竟像一条丝带迤逦飞上云端。写得真是神思飞跃，气象开阔。诗人的另一名句“黄河入海流（《登鹳雀楼》）”其观察角度与",7340000
咏柳,贺知章,"碧玉妆成一树高，万条垂下绿丝绦。
不知细叶谁裁出，二月春风似剪刀。","这是一首歌咏新柳的绝句，又像是一幅新柳的特写。是诗，也如画。
开篇，诗人运用拟人手法直接将新柳描摹成美人。而且这位“美人”非大家闺秀式的雍容华贵，却如小家碧玉清纯可爱。“碧玉小家女”（南朝梁萧绎《采莲赋》）、“碧玉破瓜时”（晋代孙绰《碧玉歌》），在中国古代文学作品中，“碧玉”几乎已经成为妙龄美少女的代名词。因而，篇首一提到“碧玉”，人们脑海中自然而然地",6870000
登鹳雀楼,王之涣,白日依山尽，黄河入海流。欲穷千里目，更上一层楼。,"此诗是登楼题咏之作。一作朱斌（唐芮挺章《国秀集）诗。
唐代河中府的一处高阜上，有一座三层的高楼，正对中条山，俯瞰黄河水，因为楼高，时有鹳雀来栖，故名鹳雀楼。这里历来是登临胜地。唐人题咏甚多，而这首五绝当推第一。
诗的前半",6340000
官仓鼠,曹邺,"官仓老鼠大如斗，见人开仓亦不走。
健儿无粮百姓饥，谁遣朝朝入君口？","这是一首反贪诗。唐朝末年，苛政极繁，贪官污吏滋多，这首诗为此而作。
“官仓鼠”这个形象可说是直接来自生活，却也有一个出典，见《史记•李斯列传》：“（斯）年少时，见吏舍厕中鼠食不洁，近人犬，数惊恐之。斯入仓，观仓中鼠，居大庑之下，不见人犬之忧。”可知“官仓鼠”，第一有“积粟”可食，较之厕中饥鼠，自然肥大。“官",6150000
登幽州台歌,陈子昂,"前不见古人，后不见来者。
念天地之悠悠，独怆然而涕下。","本篇抒发一个巨人的孤独感。事由：公元697年营州契丹叛乱，武攸宜亲总戎律，陈子昂参谋帷幕，军次渔阳。前军王孝杰等相次陷没，三军震慑。子昂料敌决策，直言进谏；武氏愎谏，但署以军曹，掌记而已。子昂因登蓟北楼，感昔乐生、燕昭之事，作此诗。（参见唐代赵儋《为故右拾遗陈公旌德碑》）蓟北楼即幽州台，遗址在今北京市。
昔燕昭王欲雪国耻，思得贤士，郭隗进策道“欲得贤士请自隗始”，燕昭王遂在易水东南筑台，置千金其上，招揽人才，遂得乐毅等。诗人登楼，首先想到的就是那个群雄割据的时代，眼前的原野上曾活动着燕昭王、乐毅等一批杰出人物，君臣其为相得，可谓圣贤",6070000
春晓,孟浩然,春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少？,"谚语“一年之计在于春，一日之计在于晨”，是从励志的角度说“春晓”。这首诗不同，它是从审美的角度说“春晓”，短短二十字，包含了春花、春鸟、春风、春雨等元素，给人以春意盎然的印象。
“春眠不觉晓，处处闻啼鸟。”这两句写春晓的感受。首句从春困写起，就写出了春暖的感觉，语极通俗而易于传播。“春日载阳，",6060000
偶然作,王维,"老来懒赋诗，惟有老相随。宿世谬词客，前身应画师。
不能舍余习，偶被世人知。名字本皆是，此心还不知。","王维《偶然作》共存六首，恐非一时一地之作，兹录一。这首诗写“老”态、“懒”意，表达了一种大彻大悟、无悲无喜的宁静淡泊之态。
“老来懒赋诗，惟有老相随”，诗人深切地感到自己“老”了，连诗情也没有了，时时处处都有一种疲惫的“老化”感觉，这“老”不仅是形体物质之老，更在于心灵情感之“老”。王维早年也曾积极从政。张九龄贬荆州，奸相李林甫独揽朝政以后，王维对现实深为不满，但又无力反抗，因而长持斋戒，结庐辋川，与道友“浮舟往来，",5740000
井底引银瓶,白居易,"止淫奔也。
井底引银瓶，银瓶欲上丝绳绝。
石上磨玉簪，玉簪欲成中央折。
瓶沉簪折可奈何，似妾今朝与君别。
忆昔在家为女时，人言举动有殊姿。
婵娟两鬓秋蝉翼，宛转双蛾远山色。
笑随戏伴后园中，此时与君未相识。
妾弄青梅凭短墙，君骑白马傍垂杨。
墙头马上遥相顾，一见知君即断肠。
知君断肠共君语，君指南山松柏树。
感君松柏化为心，暗合双鬓逐君去。
到君家舍五六年，君家大人频有言：
“聘则为妻奔是妾，不堪主祀奉蘋蘩。”
终知君家不可住，其奈出门无去处。
岂无父母在高堂，亦有亲情满故乡。
潜来更不通消息，今日悲羞归不得。
为君一日恩，误妾百年身，
寄言痴小人家女，慎勿将身轻许人。","这是一个爱情婚姻的悲剧故事。悲剧的根源既不是男女双方门第的悬殊，也不是男方的始乱终弃，甚至也不是男方父母的直接逼迫离异。封建礼教的压迫固然是酿成悲剧的根本原因，但这又是通过女主人公特有的个性来实现的。
一开头刻意设置的两组比喻便颇可玩味。它所喻示的，并不单纯是“绝”与“折”的悲剧结局，而是经过长期努力，眼看就要达到原先追求的目标，却最后跌落到绝望的深渊。正是这“欲上”而终“绝”，“欲成”而终“折”的遭遇，加强了故事的悲剧色彩。至于它所包含的具体内容，则有待于故事的逐步展开。就全篇来说，这两组比喻乃是一个明朗而又含蓄的起兴。随着女主人公“瓶沉簪折知奈何，似妾今朝与君别”这一声无可奈何的长叹，记忆的帷幕也就拉开了。
从“忆昔在家为女时”到“暗合双鬟逐君去”一节，是女主人公自叙和对方相遇、结合的过程，也可以说是整个悲剧的喜剧前奏。
“忆昔”四句，在仿佛是客观地转述“人言”中，情不自禁地流露出对少女时代青春容颜的自赏。“婵娟两鬓秋蝉翼，宛转蛾眉远山色”，是对“殊姿”的具体描绘，却只用清丽轻柔的笔触稍作点染而不施浓墨重彩，使读者从这有代表性的局部去想象她那整个明丽天然的风韵。
“笑随”六句，写与对方的相识，是故事的正式开始。“笑随戏伴到园中，此时与君未相识”，少女时代的生活是单纯而无忧无虑的，这里特意点出“与君未相识”，正是要使相识前的单纯愉快",5580000
菊花,黄巢,"待到秋来九月八，我花开后百花杀。
冲天香阵透长安，满城尽带黄金甲。","黄巢是唐末农民起义领袖。最初，他和一般读书人一样，幻想通过考试的道路解决前途问题。在他落第之后，才对社会和个人的命运作了深刻的反思，重新选择了人生的道路。这首诗题一作《不第后赋菊》，通过咏菊来抒发叛逆思想。与陶渊明的爱菊不同，黄巢并不把菊花视为花之隐逸者，而是由菊花又称“黄花”作想，把它视为自身的幸运花和起义的标志。
他的另一首《题菊花》云：“飒飒西风满院栽，蕊寒香冷蝶难",5500000
野步,许棠,"闲赏步易远，野吟声自高。路无人到迹，林有鹤遗毛。
物外趣多别，尘中心枉劳。沿溪收堕果，坐石唤饥猱。","此诗写漫步溪林时的野趣，主题句是“物外趣多别”，也即“物外多别趣”。诗人一边漫步，一边高声吟唱，到了没有人迹的山林，把玩仙鹤遗落的羽毛，沿着溪水捡拾跌落的果子，累了，就坐在石头上休息，呼唤猿猴来喂食……诗人觉得其中别有趣味，不是尘世中忙忙碌碌的人所能想象和消受得了的。
诗以描写为主，纯议论唯第三联：“物外趣多别，尘",5320000
送赵都督赴代州得青字,王维,"天官动将星，汉地柳条青。万里鸣刁斗，三军出井陉。
忘身辞凤阙，报国取龙庭。岂学书生辈，窗间老一经。","这是一首写于离筵之上的送别诗。一位姓赵的都督即将带兵开赴代州（治所在今山西代县），王维等友人为赵都督饯行，在宴席上，酒酣耳热之际，互道珍重之时，有人倡议分韵作诗，在得到响应以后，王维抓阉得“青”字，便以“青”字为韵写了上面这首诗。在座的别的诗友，也按所得韵字一一写了以《送赵都督赴代州》为题的送行诗。分韵作诗，原是炫耀才华、为文造情的文字游戏，但若所赋的内容刚好触动了诗人敏感的神经，唤醒了诗人内心深处的感情，也就有可能写出富于真情实感的好诗。古来应诏（应帝王之命作诗）、应令（应太子之命作诗）、应教（应诸王之命作诗）以及分韵、和韵等类的作品中也偶有一二佳作，原因即在于此。王维的这首诗也是其中值得肯定的一首好诗。
全诗从出征写起，",5310000
黄台瓜辞,李贤,"种瓜黄台下，瓜熟子离离。一摘使瓜好，再摘使瓜稀。
三摘犹自可，摘绝抱蔓归。","文学史上有三个奇迹，一个是曹植的《七步诗》，一个是章怀太子的《黄台瓜辞》，一个是王勃的《滕王阁序》。王序是散文，在此不表。曹植诗与李贤诗，都是在极为险恶的环境下写出来的，而又从容不迫，哀婉动人，可谓是天才之作。
武则天掌权以后，越来越严厉。她不断选拔新官，又不断斩杀旧官，其目的就是拉拢支持者，铲除反对者。据说太子李弘就因为妨碍她夺位而被鸩杀；次子李贤唯恐招祸，就写了这首诗来感动母亲。这是万难下笔",5290000
早行,刘驾,"马上续残梦，马嘶时复惊。心孤多所虞，僮仆近我行。
栖禽未分散，落月照孤城。莫羡居者闲，溪边人已耕。","这首诗题为《早行》，是诗人就切身所感、亲目所见之事，写出旅人行早路的感受。
前四句写早行所感。起早赶路，早到什么时辰？诗人没说，他只诉诸感觉。说自己上马启程以后，残梦若断若续；不知走了多久，被马嘶声惊醒，才发现自己在赶路。“马上续残梦”，使人意会到诗人是由梦乡中被唤起来上路的，以致出发以后，依然梦思缕缕，睡意绵绵，足见其赶路之早。“马嘶时复惊”，是对上一句诗的承接和申述，进一步强调出“早行”来。从马上续梦到马嘶惊梦，暗示出时光的流逝、地点的转换，而诗人却仍是迷离恍惚，悠悠忽忽，确因“早行”之故。同时，以马嘶声反衬出夜色未退时的寂静无声，以“马嘶”惊动了续着残梦的诗人",5160000
读《李斯传》,曹邺,"一车致三毂，本图行地速。不知驾驭难，举足成颠覆。
欺暗尚不然，欺明当自戮。难将一人手，掩得天下目。
不见三尺坟，云阳草空绿。","“李斯传”即《史记•李斯列传》。对李斯的评价，西汉时代就有争论。司马迁在《史记•李斯列传》末就有评说。或认为李斯极忠而被杀，甚为冤屈。但从司马迁起，历代对李斯多作贬抑。从《李斯列传》所记看，李斯值得肯定的地方也不多。
李斯从小就羡慕功名富贵，从荀卿学习帝王之术，目的是为了游说诸侯，取卿",4440000
诗三首（其二）,王梵志,世无百年人，强作千年调。打铁作门限，鬼见拍手笑。,这首诗没有幽默，相对前首的冷嘲，这里是热讽。首二句化用汉乐府《西门行》古辞：“人生不满百，常怀千岁忧。”（古诗作“生年不满百”）“世无百年人”本是共知的事实，偏偏临到自己头上，人们不肯正视。接受他,4270000
自君之出矣,张九龄,自君之出矣，不复理残机。思君如满月，夜夜减清辉。,张九龄生活的盛唐时期，用乐府古题来写近体诗，是很普遍的情况，这首五绝《自君之出矣》，正是乐府古题，保留着乐府的遗意。据宋人郭茂倩编辑的《乐府诗集》，《自君之出矣》属于“杂曲歌辞”，建安诗人徐幹有《室思》诗，结尾有“自君之出矣，明镜暗不治。思君如流水，何有穷已时”的句子，悱恻感人，后代遂以首句“自君之出矣”作为妇女忆念丈夫的题目，因此张九龄这首诗也有将题目写作《赋得自君之出矣》的，因为凡是摘取古人成句为题的，前面都要冠以“赋得”字样，表明是根据古人的意思来写作的。《全唐诗》中除了张九龄这首而外，还有辛弘智等人的诗作，可见模仿者非止,4080000
望夫石,王建,"望夫处，江悠悠。化为石，不回头。
山头日日风复雨，行人归来石应语。","在唐诗中，有一些短歌，令人过目不忘，到口成诵，本篇即是。“望夫石”是一个民间传说，据说古有贞妇，其夫服役远征，妇人饯送至山，立望而死，遂化为石。古人题咏甚多，而本篇独擅胜场。个中缘由，值得玩味。
“望夫处，",3970000
